"Date","Time (LST)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2023/07/01","00:00","1.252","-","1.51"
"2023/07/01","00:06","1.258","-","1.65"
"2023/07/01","00:12","1.263","-","1.6"
"2023/07/01","00:18","1.267","-","1.53"
"2023/07/01","00:24","1.269","-","1.5"
"2023/07/01","00:30","1.27","-","1.59"
"2023/07/01","00:36","1.27","-","1.6"
"2023/07/01","00:42","1.269","-","1.6"
"2023/07/01","00:48","1.266","-","1.58"
"2023/07/01","00:54","1.261","-","1.52"
"2023/07/01","01:00","1.255","-","1.53"
"2023/07/01","01:06","1.247","-","1.57"
"2023/07/01","01:12","1.238","-","1.52"
"2023/07/01","01:18","1.227","-","1.56"
"2023/07/01","01:24","1.214","-","1.5"
"2023/07/01","01:30","1.2","-","1.46"
"2023/07/01","01:36","1.184","-","1.46"
"2023/07/01","01:42","1.166","-","1.52"
"2023/07/01","01:48","1.147","-","1.43"
"2023/07/01","01:54","1.125","-","1.41"
"2023/07/01","02:00","1.103","-","1.43"
"2023/07/01","02:06","1.078","-","1.39"
"2023/07/01","02:12","1.052","-","1.38"
"2023/07/01","02:18","1.024","-","1.34"
"2023/07/01","02:24","0.994","-","1.25"
"2023/07/01","02:30","0.964","-","1.26"
"2023/07/01","02:36","0.931","-","1.27"
"2023/07/01","02:42","0.897","-","1.25"
"2023/07/01","02:48","0.862","-","1.21"
"2023/07/01","02:54","0.826","-","1.06"
"2023/07/01","03:00","0.789","-","1.1"
"2023/07/01","03:06","0.75","-","1.08"
"2023/07/01","03:12","0.711","-","1.06"
"2023/07/01","03:18","0.67","-","1"
"2023/07/01","03:24","0.629","-","0.93"
"2023/07/01","03:30","0.588","-","0.86"
"2023/07/01","03:36","0.545","-","0.86"
"2023/07/01","03:42","0.503","-","0.89"
"2023/07/01","03:48","0.46","-","0.86"
"2023/07/01","03:54","0.417","-","0.73"
"2023/07/01","04:00","0.373","-","0.63"
"2023/07/01","04:06","0.33","-","0.67"
"2023/07/01","04:12","0.287","-","0.73"
"2023/07/01","04:18","0.244","-","0.61"
"2023/07/01","04:24","0.202","-","0.5"
"2023/07/01","04:30","0.16","-","0.46"
"2023/07/01","04:36","0.118","-","0.47"
"2023/07/01","04:42","0.077","-","0.44"
"2023/07/01","04:48","0.037","-","0.42"
"2023/07/01","04:54","-0.002","-","0.33"
"2023/07/01","05:00","-0.04","-","0.25"
"2023/07/01","05:06","-0.077","-","0.27"
"2023/07/01","05:12","-0.113","-","0.3"
"2023/07/01","05:18","-0.148","-","0.27"
"2023/07/01","05:24","-0.181","-","0.15"
"2023/07/01","05:30","-0.213","-","0.12"
"2023/07/01","05:36","-0.244","-","0.13"
"2023/07/01","05:42","-0.272","-","0.13"
"2023/07/01","05:48","-0.299","-","0.11"
"2023/07/01","05:54","-0.325","-","0.11"
"2023/07/01","06:00","-0.348","-","-0.04"
"2023/07/01","06:06","-0.369","-","0.02"
"2023/07/01","06:12","-0.389","-","0.1"
"2023/07/01","06:18","-0.406","-","-0.03"
"2023/07/01","06:24","-0.421","-","-0.01"
"2023/07/01","06:30","-0.434","-","-0.08"
"2023/07/01","06:36","-0.445","-","-0.02"
"2023/07/01","06:42","-0.453","-","0.01"
"2023/07/01","06:48","-0.459","-","-0.08"
"2023/07/01","06:54","-0.462","-","-0.07"
"2023/07/01","07:00","-0.462","-","-0.08"
"2023/07/01","07:06","-0.46","-","-0.11"
"2023/07/01","07:12","-0.456","-","-0.01"
