"Date","Time (LST)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2023/07/01","07:18","-0.448","-","-0.04"
"2023/07/01","07:24","-0.438","-","-0.1"
"2023/07/01","07:30","-0.425","-","-0.05"
"2023/07/01","07:36","-0.41","-","-0.01"
"2023/07/01","07:42","-0.391","-","0"
"2023/07/01","07:48","-0.37","-","-0.02"
"2023/07/01","07:54","-0.346","-","0.02"
"2023/07/01","08:00","-0.32","-","-0.01"
"2023/07/01","08:06","-0.29","-","0.01"
"2023/07/01","08:12","-0.258","-","0.11"
"2023/07/01","08:18","-0.223","-","0.15"
"2023/07/01","08:24","-0.186","-","0.14"
"2023/07/01","08:30","-0.146","-","0.14"
"2023/07/01","08:36","-0.104","-","0.17"
"2023/07/01","08:42","-0.059","-","0.23"
"2023/07/01","08:48","-0.012","-","0.37"
"2023/07/01","08:54","0.037","-","0.4"
"2023/07/01","09:00","0.088","-","0.32"
"2023/07/01","09:06","0.142","-","0.42"
"2023/07/01","09:12","0.197","-","0.52"
"2023/07/01","09:18","0.254","-","0.64"
"2023/07/01","09:24","0.313","-","0.55"
"2023/07/01","09:30","0.373","-","0.55"
"2023/07/01","09:36","0.435","-","0.75"
"2023/07/01","09:42","0.498","-","0.82"
"2023/07/01","09:48","0.563","-","0.91"
"2023/07/01","09:54","0.628","-","0.89"
"2023/07/01","10:00","0.695","-","0.94"
"2023/07/01","10:06","0.762","-","1.01"
"2023/07/01","10:12","0.83","-","1.14"
"2023/07/01","10:18","0.899","-","1.22"
"2023/07/01","10:24","0.968","-","1.28"
"2023/07/01","10:30","1.038","-","1.29"
"2023/07/01","10:36","1.108","-","1.37"
"2023/07/01","10:42","1.178","-","1.53"
"2023/07/01","10:48","1.248","-","1.51"
"2023/07/01","10:54","1.318","-","1.59"
"2023/07/01","11:00","1.388","-","1.74"
"2023/07/01","11:06","1.458","-","1.71"
"2023/07/01","11:12","1.527","-","1.79"
"2023/07/01","11:18","1.596","-","1.94"
"2023/07/01","11:24","1.664","-","1.93"
"2023/07/01","11:30","1.732","-","2.03"
"2023/07/01","11:36","1.799","-","2.1"
"2023/07/01","11:42","1.865","-","2.12"
"2023/07/01","11:48","1.931","-","2.21"
"2023/07/01","11:54","1.995","-","2.28"
"2023/07/01","12:00","2.058","-","2.32"
"2023/07/01","12:06","2.119","-","2.34"
"2023/07/01","12:12","2.18","-","2.43"
"2023/07/01","12:18","2.239","-","2.53"
"2023/07/01","12:24","2.296","-","2.59"
"2023/07/01","12:30","2.351","-","2.62"
"2023/07/01","12:36","2.405","-","2.63"
"2023/07/01","12:42","2.457","-","2.63"
"2023/07/01","12:48","2.507","-","2.76"
"2023/07/01","12:54","2.555","-","2.82"
"2023/07/01","13:00","2.6","-","2.83"
"2023/07/01","13:06","2.643","-","2.88"
"2023/07/01","13:12","2.684","-","2.9"
"2023/07/01","13:18","2.723","-","2.97"
"2023/07/01","13:24","2.758","-","3.03"
"2023/07/01","13:30","2.792","-","3.02"
"2023/07/01","13:36","2.822","-","3.05"
"2023/07/01","13:42","2.85","-","3.09"
"2023/07/01","13:48","2.874","-","3.14"
"2023/07/01","13:54","2.896","-","3.11"
"2023/07/01","14:00","2.915","-","3.2"
"2023/07/01","14:06","2.931","-","3.2"
"2023/07/01","14:12","2.944","-","3.15"
"2023/07/01","14:18","2.954","-","3.21"
"2023/07/01","14:24","2.96","-","3.2"
"2023/07/01","14:30","2.964","-","3.25"
"2023/07/01","14:36","2.965","-","3.25"
"2023/07/01","14:42","2.963","-","3.18"
"2023/07/01","14:48","2.958","-","3.18"
"2023/07/01","14:54","2.95","-","3.24"
"2023/07/01","15:00","2.939","-","3.2"
"2023/07/01","15:06","2.925","-","3.18"
"2023/07/01","15:12","2.909","-","3.18"
"2023/07/01","15:18","2.89","-","3.16"
"2023/07/01","15:24","2.868","-","3.1"
"2023/07/01","15:30","2.844","-","3.13"
"2023/07/01","15:36","2.817","-","3.08"
"2023/07/01","15:42","2.788","-","3.09"
"2023/07/01","15:48","2.757","-","3.01"
"2023/07/01","15:54","2.724","-","3.02"
"2023/07/01","16:00","2.689","-","2.96"
"2023/07/01","16:06","2.652","-","2.99"
"2023/07/01","16:12","2.613","-","2.9"
"2023/07/01","16:18","2.572","-","2.86"
"2023/07/01","16:24","2.53","-","2.79"
"2023/07/01","16:30","2.486","-","2.78"
"2023/07/01","16:36","2.441","-","2.79"
"2023/07/01","16:42","2.395","-","2.69"
"2023/07/01","16:48","2.348","-","2.64"
"2023/07/01","16:54","2.299","-","2.63"
"2023/07/01","17:00","2.25","-","2.57"
"2023/07/01","17:06","2.2","-","2.55"
"2023/07/01","17:12","2.149","-","2.44"
"2023/07/01","17:18","2.098","-","2.45"
"2023/07/01","17:24","2.046","-","2.38"
"2023/07/01","17:30","1.994","-","2.36"
"2023/07/01","17:36","1.942","-","2.31"
"2023/07/01","17:42","1.889","-","2.19"
"2023/07/01","17:48","1.836","-","2.26"
"2023/07/01","17:54","1.784","-","2.18"
"2023/07/01","18:00","1.732","-","2.08"
"2023/07/01","18:06","1.68","-","2.06"
"2023/07/01","18:12","1.628","-","2"
"2023/07/01","18:18","1.577","-","2.01"
"2023/07/01","18:24","1.527","-","1.92"
"2023/07/01","18:30","1.477","-","1.83"
"2023/07/01","18:36","1.428","-","1.86"
"2023/07/01","18:42","1.38","-","1.8"
"2023/07/01","18:48","1.334","-","1.72"
"2023/07/01","18:54","1.288","-","1.66"
"2023/07/01","19:00","1.244","-","1.65"
"2023/07/01","19:06","1.201","-","1.59"
"2023/07/01","19:12","1.16","-","1.55"
"2023/07/01","19:18","1.12","-","1.55"
"2023/07/01","19:24","1.083","-","1.47"
"2023/07/01","19:30","1.046","-","1.47"
"2023/07/01","19:36","1.012","-","1.43"
"2023/07/01","19:42","0.979","-","1.36"
"2023/07/01","19:48","0.949","-","1.37"
"2023/07/01","19:54","0.92","-","1.33"
"2023/07/01","20:00","0.894","-","1.3"
"2023/07/01","20:06","0.87","-","1.31"
"2023/07/01","20:12","0.847","-","1.3"
"2023/07/01","20:18","0.827","-","1.21"
"2023/07/01","20:24","0.809","-","1.14"
"2023/07/01","20:30","0.793","-","1.22"
"2023/07/01","20:36","0.78","-","1.17"
"2023/07/01","20:42","0.768","-","1.17"
"2023/07/01","20:48","0.758","-","1.2"
"2023/07/01","20:54","0.751","-","1.1"
"2023/07/01","21:00","0.745","-","1.11"
"2023/07/01","21:06","0.741","-","1.13"
"2023/07/01","21:12","0.739","-","1.17"
"2023/07/01","21:18","0.739","-","1.09"
"2023/07/01","21:24","0.741","-","1.08"
"2023/07/01","21:30","0.744","-","1.11"
"2023/07/01","21:36","0.749","-","1.13"
"2023/07/01","21:42","0.755","-","1.24"
"2023/07/01","21:48","0.763","-","1.14"
"2023/07/01","21:54","0.772","-","1.15"
"2023/07/01","22:00","0.782","-","1.14"
"2023/07/01","22:06","0.794","-","1.18"
"2023/07/01","22:12","0.806","-","1.26"
"2023/07/01","22:18","0.819","-","1.22"
"2023/07/01","22:24","0.833","-","1.21"
"2023/07/01","22:30","0.848","-","1.2"
"2023/07/01","22:36","0.864","-","1.21"
"2023/07/01","22:42","0.88","-","1.29"
"2023/07/01","22:48","0.896","-","1.3"
"2023/07/01","22:54","0.913","-","1.28"
"2023/07/01","23:00","0.931","-","1.26"
"2023/07/01","23:06","0.949","-","1.3"
"2023/07/01","23:12","0.966","-","1.33"
"2023/07/01","23:18","0.984","-","1.4"
"2023/07/01","23:24","1.002","-","1.37"
"2023/07/01","23:30","1.02","-","1.33"
"2023/07/01","23:36","1.038","-","1.37"
"2023/07/01","23:42","1.056","-","1.44"
"2023/07/01","23:48","1.073","-","1.41"
"2023/07/01","23:54","1.09","-","1.35"
"2023/07/02","00:00","1.107","-","1.43"
"2023/07/02","00:06","1.123","-","1.51"
"2023/07/02","00:12","1.138","-","1.45"
"2023/07/02","00:18","1.153","-","1.47"
"2023/07/02","00:24","1.167","-","1.45"
"2023/07/02","00:30","1.18","-","1.5"
"2023/07/02","00:36","1.193","-","1.55"
"2023/07/02","00:42","1.204","-","1.52"
"2023/07/02","00:48","1.214","-","1.53"
"2023/07/02","00:54","1.223","-","1.5"
"2023/07/02","01:00","1.231","-","1.53"
"2023/07/02","01:06","1.238","-","1.51"
"2023/07/02","01:12","1.243","-","1.56"
"2023/07/02","01:18","1.246","-","1.52"
"2023/07/02","01:24","1.248","-","1.5"
"2023/07/02","01:30","1.248","-","1.57"
"2023/07/02","01:36","1.247","-","1.55"
"2023/07/02","01:42","1.243","-","1.49"
"2023/07/02","01:48","1.238","-","1.48"
"2023/07/02","01:54","1.231","-","1.47"
"2023/07/02","02:00","1.222","-","1.43"
"2023/07/02","02:06","1.212","-","1.5"
"2023/07/02","02:12","1.199","-","1.45"
"2023/07/02","02:18","1.184","-","1.44"
"2023/07/02","02:24","1.167","-","1.4"
"2023/07/02","02:30","1.148","-","1.38"
"2023/07/02","02:36","1.127","-","1.37"
"2023/07/02","02:42","1.105","-","1.41"
"2023/07/02","02:48","1.08","-","1.34"
"2023/07/02","02:54","1.054","-","1.3"
"2023/07/02","03:00","1.025","-","1.28"
"2023/07/02","03:06","0.995","-","1.32"
"2023/07/02","03:12","0.963","-","1.32"
"2023/07/02","03:18","0.93","-","1.16"
"2023/07/02","03:24","0.895","-","1.2"
"2023/07/02","03:30","0.858","-","1.2"
"2023/07/02","03:36","0.82","-","1.16"
"2023/07/02","03:42","0.781","-","1.08"
"2023/07/02","03:48","0.741","-","1.08"
"2023/07/02","03:54","0.7","-","1.06"
"2023/07/02","04:00","0.657","-","1"
"2023/07/02","04:06","0.614","-","0.99"
"2023/07/02","04:12","0.57","-","0.91"
"2023/07/02","04:18","0.526","-","0.83"
"2023/07/02","04:24","0.481","-","0.9"
"2023/07/02","04:30","0.436","-","0.83"
"2023/07/02","04:36","0.39","-","0.74"
"2023/07/02","04:42","0.345","-","0.76"
"2023/07/02","04:48","0.299","-","0.72"
"2023/07/02","04:54","0.253","-","0.69"
"2023/07/02","05:00","0.208","-","0.57"
"2023/07/02","05:06","0.162","-","0.61"
"2023/07/02","05:12","0.117","-","0.52"
"2023/07/02","05:18","0.073","-","0.55"
"2023/07/02","05:24","0.029","-","0.49"
"2023/07/02","05:30","-0.014","-","0.4"
"2023/07/02","05:36","-0.056","-","0.37"
"2023/07/02","05:42","-0.097","-","0.37"
"2023/07/02","05:48","-0.137","-","0.33"
"2023/07/02","05:54","-0.177","-","0.24"
"2023/07/02","06:00","-0.214","-","0.23"
"2023/07/02","06:06","-0.251","-","0.22"
"2023/07/02","06:12","-0.286","-","0.14"
"2023/07/02","06:18","-0.32","-","0.21"
"2023/07/02","06:24","-0.352","-","0.07"
"2023/07/02","06:30","-0.382","-","0.1"
"2023/07/02","06:36","-0.411","-","0.05"
"2023/07/02","06:42","-0.437","-","0.04"
"2023/07/02","06:48","-0.462","-","0.07"
"2023/07/02","06:54","-0.484","-","-0.02"
"2023/07/02","07:00","-0.504","-","0.02"
"2023/07/02","07:06","-0.522","-","-0.08"
"2023/07/02","07:12","-0.537","-","-0.04"
"2023/07/02","07:18","-0.55","-","-0.08"
"2023/07/02","07:24","-0.561","-","-0.12"
"2023/07/02","07:30","-0.568","-","-0.1"
"2023/07/02","07:36","-0.573","-","-0.13"
"2023/07/02","07:42","-0.575","-","-0.07"
"2023/07/02","07:48","-0.575","-","-0.07"
"2023/07/02","07:54","-0.571","-","-0.15"
"2023/07/02","08:00","-0.565","-","-0.08"
"2023/07/02","08:06","-0.555","-","-0.16"
"2023/07/02","08:12","-0.542","-","-0.12"
"2023/07/02","08:18","-0.527","-","-0.1"
"2023/07/02","08:24","-0.508","-","-0.1"
"2023/07/02","08:30","-0.487","-","0"
"2023/07/02","08:36","-0.462","-","-0.05"
"2023/07/02","08:42","-0.434","-","0.05"
"2023/07/02","08:48","-0.404","-","-0.05"
"2023/07/02","08:54","-0.37","-","0.07"
"2023/07/02","09:00","-0.334","-","0.07"
"2023/07/02","09:06","-0.295","-","0.07"
"2023/07/02","09:12","-0.253","-","0.13"
"2023/07/02","09:18","-0.209","-","0.16"
"2023/07/02","09:24","-0.162","-","0.2"
"2023/07/02","09:30","-0.112","-","0.24"
"2023/07/02","09:36","-0.06","-","0.26"
"2023/07/02","09:42","-0.006","-","0.35"
"2023/07/02","09:48","0.05","-","0.49"
"2023/07/02","09:54","0.109","-","0.43"
"2023/07/02","10:00","0.169","-","0.46"
"2023/07/02","10:06","0.232","-","0.59"
"2023/07/02","10:12","0.296","-","0.67"
"2023/07/02","10:18","0.361","-","0.74"
"2023/07/02","10:24","0.428","-","0.76"
"2023/07/02","10:30","0.497","-","0.85"
"2023/07/02","10:36","0.566","-","0.9"
"2023/07/02","10:42","0.637","-","1.02"
"2023/07/02","10:48","0.709","-","1.11"
"2023/07/02","10:54","0.782","-","1.17"
"2023/07/02","11:00","0.856","-","1.16"
"2023/07/02","11:06","0.93","-","1.28"
"2023/07/02","11:12","1.005","-","1.39"
"2023/07/02","11:18","1.08","-","1.48"
"2023/07/02","11:24","1.156","-","1.49"
"2023/07/02","11:30","1.232","-","1.53"
"2023/07/02","11:36","1.308","-","1.69"
"2023/07/02","11:42","1.384","-","1.71"
"2023/07/02","11:48","1.46","-","1.86"
"2023/07/02","11:54","1.536","-","1.91"
"2023/07/02","12:00","1.611","-","1.96"
"2023/07/02","12:06","1.686","-","1.98"
"2023/07/02","12:12","1.761","-","2.14"
"2023/07/02","12:18","1.834","-","2.23"
"2023/07/02","12:24","1.907","-","2.24"
"2023/07/02","12:30","1.979","-","2.32"
"2023/07/02","12:36","2.05","-","2.36"
"2023/07/02","12:42","2.12","-","2.5"
"2023/07/02","12:48","2.188","-","2.57"
"2023/07/02","12:54","2.255","-","2.58"
"2023/07/02","13:00","2.32","-","2.65"
"2023/07/02","13:06","2.384","-","2.74"
"2023/07/02","13:12","2.446","-","2.8"
"2023/07/02","13:18","2.506","-","2.85"
"2023/07/02","13:24","2.563","-","2.88"
"2023/07/02","13:30","2.619","-","2.97"
"2023/07/02","13:36","2.672","-","3.03"
"2023/07/02","13:42","2.722","-","3.01"
"2023/07/02","13:48","2.77","-","3.09"
"2023/07/02","13:54","2.815","-","3.17"
"2023/07/02","14:00","2.858","-","3.17"
"2023/07/02","14:06","2.898","-","3.17"
"2023/07/02","14:12","2.934","-","3.31"
"2023/07/02","14:18","2.968","-","3.21"
"2023/07/02","14:24","2.998","-","3.29"
"2023/07/02","14:30","3.025","-","3.35"
"2023/07/02","14:36","3.049","-","3.38"
"2023/07/02","14:42","3.07","-","3.33"
"2023/07/02","14:48","3.088","-","3.34"
"2023/07/02","14:54","3.102","-","3.4"
"2023/07/02","15:00","3.113","-","3.41"
"2023/07/02","15:06","3.12","-","3.38"
"2023/07/02","15:12","3.124","-","3.44"
"2023/07/02","15:18","3.125","-","3.41"
"2023/07/02","15:24","3.123","-","3.38"
"2023/07/02","15:30","3.118","-","3.44"
"2023/07/02","15:36","3.109","-","3.39"
"2023/07/02","15:42","3.097","-","3.38"
"2023/07/02","15:48","3.083","-","3.34"
"2023/07/02","15:54","3.065","-","3.32"
"2023/07/02","16:00","3.045","-","3.29"
"2023/07/02","16:06","3.022","-","3.31"
"2023/07/02","16:12","2.996","-","3.35"
"2023/07/02","16:18","2.967","-","3.19"
"2023/07/02","16:24","2.936","-","3.17"
"2023/07/02","16:30","2.903","-","3.18"
"2023/07/02","16:36","2.867","-","3.15"
"2023/07/02","16:42","2.829","-","3.14"
"2023/07/02","16:48","2.789","-","3.1"
"2023/07/02","16:54","2.747","-","2.97"
"2023/07/02","17:00","2.703","-","2.99"
"2023/07/02","17:06","2.658","-","2.98"
"2023/07/02","17:12","2.61","-","2.94"
"2023/07/02","17:18","2.561","-","2.85"
"2023/07/02","17:24","2.511","-","2.78"
"2023/07/02","17:30","2.46","-","2.77"
"2023/07/02","17:36","2.407","-","2.75"
"2023/07/02","17:42","2.353","-","2.68"
"2023/07/02","17:48","2.298","-","2.65"
"2023/07/02","17:54","2.242","-","2.53"
"2023/07/02","18:00","2.186","-","2.51"
"2023/07/02","18:06","2.128","-","2.48"
"2023/07/02","18:12","2.071","-","2.46"
"2023/07/02","18:18","2.013","-","2.35"
"2023/07/02","18:24","1.955","-","2.28"
"2023/07/02","18:30","1.896","-","2.23"
"2023/07/02","18:36","1.838","-","2.18"
"2023/07/02","18:42","1.78","-","2.16"
"2023/07/02","18:48","1.722","-","2.09"
"2023/07/02","18:54","1.664","-","2"
"2023/07/02","19:00","1.607","-","1.96"
"2023/07/02","19:06","1.551","-","1.89"
"2023/07/02","19:12","1.495","-","1.9"
"2023/07/02","19:18","1.441","-","1.81"
"2023/07/02","19:24","1.387","-","1.75"
"2023/07/02","19:30","1.335","-","1.72"
"2023/07/02","19:36","1.284","-","1.67"
"2023/07/02","19:42","1.235","-","1.67"
"2023/07/02","19:48","1.187","-","1.57"
"2023/07/02","19:54","1.14","-","1.52"
"2023/07/02","20:00","1.096","-","1.48"
"2023/07/02","20:06","1.053","-","1.51"
"2023/07/02","20:12","1.012","-","1.37"
"2023/07/02","20:18","0.973","-","1.38"
"2023/07/02","20:24","0.936","-","1.3"
"2023/07/02","20:30","0.902","-","1.34"
"2023/07/02","20:36","0.869","-","1.25"
"2023/07/02","20:42","0.839","-","1.24"
"2023/07/02","20:48","0.811","-","1.18"
"2023/07/02","20:54","0.785","-","1.25"
"2023/07/02","21:00","0.762","-","1.15"
"2023/07/02","21:06","0.741","-","1.13"
"2023/07/02","21:12","0.722","-","1.17"
"2023/07/02","21:18","0.705","-","1.18"
"2023/07/02","21:24","0.691","-","1.13"
"2023/07/02","21:30","0.679","-","1.1"
"2023/07/02","21:36","0.669","-","1.11"
"2023/07/02","21:42","0.661","-","1.11"
"2023/07/02","21:48","0.655","-","1.14"
"2023/07/02","21:54","0.652","-","1.06"
"2023/07/02","22:00","0.65","-","1.1"
"2023/07/02","22:06","0.65","-","1.03"
"2023/07/02","22:12","0.652","-","1.1"
"2023/07/02","22:18","0.656","-","1.11"
"2023/07/02","22:24","0.661","-","1.12"
"2023/07/02","22:30","0.668","-","1.05"
"2023/07/02","22:36","0.676","-","1.03"
"2023/07/02","22:42","0.686","-","1.11"
"2023/07/02","22:48","0.697","-","1.18"
"2023/07/02","22:54","0.71","-","1.13"
"2023/07/02","23:00","0.724","-","1.02"
"2023/07/02","23:06","0.738","-","1.17"
"2023/07/02","23:12","0.754","-","1.15"
"2023/07/02","23:18","0.771","-","1.13"
"2023/07/02","23:24","0.789","-","1.19"
"2023/07/02","23:30","0.807","-","1.18"
"2023/07/02","23:36","0.826","-","1.16"
"2023/07/02","23:42","0.846","-","1.22"
"2023/07/02","23:48","0.866","-","1.24"
"2023/07/02","23:54","0.886","-","1.18"
"2023/07/03","00:00","0.907","-","1.24"
"2023/07/03","00:06","0.929","-","1.26"
"2023/07/03","00:12","0.95","-","1.32"
"2023/07/03","00:18","0.971","-","1.29"
"2023/07/03","00:24","0.993","-","1.3"
"2023/07/03","00:30","1.014","-","1.27"
"2023/07/03","00:36","1.035","-","1.33"
"2023/07/03","00:42","1.056","-","1.39"
"2023/07/03","00:48","1.076","-","1.4"
"2023/07/03","00:54","1.096","-","1.33"
"2023/07/03","01:00","1.115","-","1.41"
"2023/07/03","01:06","1.133","-","1.44"
"2023/07/03","01:12","1.151","-","1.47"
"2023/07/03","01:18","1.167","-","1.44"
"2023/07/03","01:24","1.182","-","1.48"
"2023/07/03","01:30","1.197","-","1.5"
"2023/07/03","01:36","1.21","-","1.46"
"2023/07/03","01:42","1.221","-","1.56"
"2023/07/03","01:48","1.231","-","1.53"
"2023/07/03","01:54","1.239","-","1.43"
"2023/07/03","02:00","1.246","-","1.55"
"2023/07/03","02:06","1.251","-","1.54"
"2023/07/03","02:12","1.254","-","1.55"
"2023/07/03","02:18","1.256","-","1.5"
"2023/07/03","02:24","1.255","-","1.53"
"2023/07/03","02:30","1.252","-","1.47"
"2023/07/03","02:36","1.248","-","1.5"
"2023/07/03","02:42","1.241","-","1.6"
"2023/07/03","02:48","1.232","-","1.51"
"2023/07/03","02:54","1.221","-","1.44"
"2023/07/03","03:00","1.207","-","1.44"
"2023/07/03","03:06","1.192","-","1.5"
"2023/07/03","03:12","1.175","-","1.46"
"2023/07/03","03:18","1.155","-","1.45"
"2023/07/03","03:24","1.133","-","1.36"
"2023/07/03","03:30","1.11","-","1.36"
"2023/07/03","03:36","1.084","-","1.42"
"2023/07/03","03:42","1.057","-","1.38"
"2023/07/03","03:48","1.027","-","1.29"
"2023/07/03","03:54","0.996","-","1.3"
"2023/07/03","04:00","0.963","-","1.28"
"2023/07/03","04:06","0.928","-","1.22"
"2023/07/03","04:12","0.892","-","1.19"
"2023/07/03","04:18","0.855","-","1.23"
"2023/07/03","04:24","0.816","-","1.09"
"2023/07/03","04:30","0.775","-","1.09"
"2023/07/03","04:36","0.734","-","1.09"
"2023/07/03","04:42","0.692","-","1.05"
"2023/07/03","04:48","0.648","-","1.07"
"2023/07/03","04:54","0.604","-","0.91"
"2023/07/03","05:00","0.559","-","0.85"
"2023/07/03","05:06","0.513","-","0.94"
"2023/07/03","05:12","0.467","-","0.86"
"2023/07/03","05:18","0.42","-","0.81"
"2023/07/03","05:24","0.373","-","0.72"
"2023/07/03","05:30","0.326","-","0.64"
"2023/07/03","05:36","0.279","-","0.68"
"2023/07/03","05:42","0.232","-","0.6"
"2023/07/03","05:48","0.185","-","0.64"
"2023/07/03","05:54","0.138","-","0.51"
"2023/07/03","06:00","0.092","-","0.41"
"2023/07/03","06:06","0.046","-","0.48"
"2023/07/03","06:12","0","-","0.45"
"2023/07/03","06:18","-0.045","-","0.34"
"2023/07/03","06:24","-0.088","-","0.28"
"2023/07/03","06:30","-0.131","-","0.32"
"2023/07/03","06:36","-0.173","-","0.2"
"2023/07/03","06:42","-0.214","-","0.2"
"2023/07/03","06:48","-0.253","-","0.16"
"2023/07/03","06:54","-0.292","-","0.13"
"2023/07/03","07:00","-0.328","-","0.03"
"2023/07/03","07:06","-0.363","-","0.09"
"2023/07/03","07:12","-0.396","-","0.01"
"2023/07/03","07:18","-0.427","-","-0.07"
"2023/07/03","07:24","-0.457","-","-0.03"
"2023/07/03","07:30","-0.484","-","-0.08"
"2023/07/03","07:36","-0.509","-","-0.07"
"2023/07/03","07:42","-0.532","-","-0.1"
"2023/07/03","07:48","-0.552","-","-0.12"
"2023/07/03","07:54","-0.57","-","-0.14"
"2023/07/03","08:00","-0.585","-","-0.12"
"2023/07/03","08:06","-0.597","-","-0.21"
"2023/07/03","08:12","-0.607","-","-0.17"
"2023/07/03","08:18","-0.614","-","-0.17"
"2023/07/03","08:24","-0.618","-","-0.24"
"2023/07/03","08:30","-0.619","-","-0.15"
"2023/07/03","08:36","-0.617","-","-0.19"
"2023/07/03","08:42","-0.613","-","-0.16"
"2023/07/03","08:48","-0.605","-","-0.15"
"2023/07/03","08:54","-0.594","-","-0.18"
"2023/07/03","09:00","-0.579","-","-0.11"
"2023/07/03","09:06","-0.562","-","-0.17"
"2023/07/03","09:12","-0.542","-","-0.14"
"2023/07/03","09:18","-0.519","-","-0.07"
"2023/07/03","09:24","-0.492","-","-0.06"
"2023/07/03","09:30","-0.463","-","-0.05"
"2023/07/03","09:36","-0.43","-","0"
"2023/07/03","09:42","-0.395","-","0.06"
"2023/07/03","09:48","-0.357","-","0.04"
"2023/07/03","09:54","-0.316","-","0.06"
"2023/07/03","10:00","-0.272","-","0.15"
"2023/07/03","10:06","-0.226","-","0.18"
"2023/07/03","10:12","-0.177","-","0.24"
"2023/07/03","10:18","-0.125","-","0.23"
"2023/07/03","10:24","-0.071","-","0.3"
"2023/07/03","10:30","-0.015","-","0.34"
"2023/07/03","10:36","0.044","-","0.42"
"2023/07/03","10:42","0.104","-","0.55"
"2023/07/03","10:48","0.167","-","0.5"
"2023/07/03","10:54","0.231","-","0.58"
"2023/07/03","11:00","0.298","-","0.71"
"2023/07/03","11:06","0.366","-","0.73"
"2023/07/03","11:12","0.435","-","0.78"
"2023/07/03","11:18","0.507","-","0.84"
"2023/07/03","11:24","0.579","-","0.91"
"2023/07/03","11:30","0.653","-","0.98"
"2023/07/03","11:36","0.728","-","1.07"
"2023/07/03","11:42","0.804","-","1.14"
